trial_number,alpha,min_df,max_df,norm,use_idf,smooth_idf,sublinear_tf,accuracy_train,accuracy_test,accuracy_mean
0,1.442579354072398,1801,0.7335429380226267,l2,True,True,True,0.42336256517988624,0.4104904051172708,0.41692648514857855
1,0.03325327324665544,1151,0.2416391704620953,l1,False,False,True,0.4685440901673112,0.45038805970149254,0.45946607493440184
2,0.9964328333655343,2801,0.8903681901352943,,False,True,True,0.37835401867712426,0.3664648187633262,0.37240941872022526
3,0.062226274911875434,3401,0.4455957673042913,l2,True,False,False,0.3528738326797326,0.3433859275053305,0.34812988009253154
4,3.9712422948676975,1501,0.8713938966334043,,True,True,True,0.45239563821094725,0.44105756929637524,0.44672660375366124
5,0.007666568779188022,2451,0.4579714437905784,,True,False,True,0.3498239488712016,0.3411002132196162,0.3454620810454089
6,0.2800027191730461,2701,0.2736326525955394,,False,False,False,0.37290747244293415,0.36081876332622603,0.3668631178845801
7,0.06991738175629082,651,0.5302496968980772,,True,False,False,0.7273426635500192,0.6984733475479744,0.7129080055489968
8,0.0019517620669099365,3001,0.8546928034885003,l1,False,False,True,0.3267996021494853,0.3173901918976546,0.32209489702356997
9,0.01065558136790337,1901,0.5962578372896715,,True,True,True,0.40812907836608164,0.3968102345415778,0.4024696564538297
10,0.3541618752699827,1,0.12843687817980576,l2,True,False,False,0.7503055573890264,0.6557611940298508,0.7030333757094386
11,0.2885775952263119,1,0.11514184524692643,l2,True,False,False,0.7626985554020498,0.6621748400852878,0.7124366977436688
12,0.19029195545250197,51,0.5966621989216475,l2,True,False,False,0.7418205075097699,0.7087078891257996,0.7252641983177848
13,0.10629822888031797,701,0.642695392568109,l2,True,False,False,0.7064486834288888,0.6781066098081023,0.6922776466184956
14,0.01827993856004803,651,0.491174952743642,l1,True,False,False,0.5664089438980702,0.5422430703624733,0.5543260071302718
15,0.10168990647043505,651,0.6941515911870622,,True,False,False,0.727347215615405,0.698456289978678,0.7129017527970416
16,0.0026583196617005955,301,0.34638216361080065,l2,True,False,False,0.7371045677700114,0.7054328358208956,0.7212687017954535
17,0.0013467412553443,1201,0.3337184452401942,l2,True,False,False,0.5806614606212204,0.5593347547974413,0.5699981077093308
18,0.0033861021205291624,3951,0.3714558438443806,l2,False,True,False,0.3441270390407888,0.3354200426439232,0.339773540842356
19,0.0047275558262388565,251,0.7819314982572311,l2,True,False,False,0.7384292187972988,0.7064051172707889,0.7224171680340439
20,0.0050149074700010276,1101,0.9709638831277014,l2,True,False,False,0.6418093549495745,0.6158976545842217,0.6288535047668982
21,0.0010936637156917352,151,0.7607765473636652,l2,True,False,False,0.7418296116405416,0.709953091684435,0.7258913516624883
22,0.019829456813204395,251,0.767254567062299,l2,True,False,False,0.7383905262415189,0.7063539445628998,0.7223722354022093
23,0.0010150504392052906,351,0.8121371986296924,l2,True,False,False,0.7350857267713793,0.7045117270788912,0.7197987269251352
24,0.004932319219467861,951,0.6353946880718889,l2,True,False,False,0.6842209481496992,0.6565117270788913,0.6703663376142952
25,0.0010412547725601015,251,0.9521136252464948,l2,True,False,False,0.7384405989607635,0.7064221748400853,0.7224313869004244
26,0.0010571080289854208,1451,0.9795605292038704,l1,False,True,False,0.37276408238327935,0.3621321961620469,0.3674481392726631
27,0.8241491952690705,451,0.9474010963303598,l2,True,False,False,0.7272493462096089,0.6969211087420043,0.7120852274758066
28,0.18688838572247635,1,0.6863919322135321,l2,True,False,False,0.7754966872344154,0.6638464818763327,0.719671584555374
29,1.972782282820166,2101,0.9049579836245075,l2,True,True,False,0.400506644877447,0.3886226012793177,0.39456462307838236
30,0.03970602646068155,1651,0.7457383941107144,l2,True,False,False,0.4391764403303889,0.42635394456289977,0.43276519244664435
31,0.0019040816209026964,901,0.808818905521728,l2,True,False,False,0.688067443400757,0.6598720682302772,0.6739697558155171
32,0.003372766282926502,251,0.8044370238956039,l2,True,False,False,0.7384292187972988,0.7064051172707889,0.7224171680340439
33,0.0018346502664281733,401,0.5863281983345329,l2,True,False,False,0.732183785087889,0.7014754797441365,0.7168296324160127
34,0.009690072882840472,101,0.6854068907090052,l1,False,False,True,0.5187715796349699,0.4970575692963753,0.5079145744656726
35,0.004848145315068813,851,0.9315291253682936,l2,True,False,False,0.6927082740616486,0.6643240938166312,0.6785161839391398
36,0.01911409003336959,501,0.8298630731919323,l2,True,True,True,0.7270718156595601,0.6966311300639659,0.7118514728617631
37,0.7813583124137193,1151,0.7486112110797771,l2,False,False,False,0.5674103982829609,0.5451257995735608,0.5562680989282609
38,0.03758156714379539,201,0.8832102036357617,l1,True,False,False,0.57707670912985,0.5523923240938167,0.5647345166118334
39,0.0016087444204187192,2151,0.582538807657511,l2,True,False,True,0.39690596115722604,0.38451172707889125,0.3907088441180586
40,0.1727077250377028,551,0.9980454723189879,,False,True,False,0.7436345055660379,0.7122217484008528,0.7279281269834454
41,0.16223013211192108,501,0.9853383404171582,,False,True,False,0.750385218533279,0.7182430703624734,0.7343141444478762
42,0.16741594992124095,451,0.9958522768134803,,False,True,False,0.7548826591345158,0.7226268656716418,0.7387547624030788
43,0.5105791821179118,551,0.9942426456130258,,False,True,False,0.7434706312121467,0.7120170575692963,0.7277438443907216
44,0.36969450707667983,1401,0.9036332650100343,,False,True,False,0.49119516752738634,0.47687846481876334,0.4840368161730748
45,0.5355271445363362,601,0.9908198143755258,,False,True,True,0.7412833637942375,0.7107036247334755,0.7259934942638565
46,0.5100928685016426,751,0.9984202085504862,,False,True,True,0.7273449395827122,0.6988144989339019,0.713079719258307
47,0.16025155686786893,501,0.9994263126217986,,False,True,True,0.7522993620280362,0.7207846481876332,0.7365420051078346
48,0.14785739530144723,1051,0.8539346722162288,,False,True,True,0.6799624909812204,0.6529466950959488,0.6664545930385846
49,1.6610357318337967,1301,0.9364044743749808,,False,True,True,0.5176904641058264,0.5002302771855011,0.5089603706456638
0,1.1114278827034711,2201,0.4123650050614972,l2,False,False,True,0.38416928220756963,0.37182089552238806,0.37799508886497885
1,4.19733897219343,2601,0.7349452279250478,,True,True,True,0.35307412355671075,0.34333475479744135,0.34820443917707605
2,0.11569738604490853,1601,0.915815056618745,l1,True,False,False,0.38462448874615635,0.3730490405117271,0.3788367646289417
3,0.24264427258714671,1201,0.7809420440740614,l1,False,True,True,0.4249648921957115,0.4091769722814499,0.4170709322385807
4,0.025105656934625294,1701,0.336633514567368,,True,False,True,0.4158539333258983,0.4044861407249467,0.41017003702542254
5,2.0577340569478366,1401,0.6795476221091241,l1,True,False,True,0.40107792908337336,0.38824733475479745,0.3946626319190854
6,0.011636876198284254,1151,0.2661190748225378,l1,False,False,True,0.4640147851083733,0.44636247334754797,0.45518862922796066
7,0.00934760780796783,1251,0.6457171309465707,l2,False,True,True,0.5021815773361769,0.48479317697228147,0.4934873771542292
8,0.0021463474532418853,2301,0.6572554660896199,,True,True,True,0.3659746768602584,0.3553944562899787,0.36068456657511855
9,0.018853886649814567,1951,0.46224812173432384,,True,True,False,0.39319375183505134,0.38231130063965885,0.3877525262373551
10,0.0019708708965503175,1,0.1139266472266785,l2,False,True,False,0.803068547276613,0.666865671641791,0.7349671094592021
11,0.0011216405129823846,51,0.19892199312670267,l2,False,True,False,0.7203893836731071,0.6873859275053305,0.7038876555892188
